id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
66;6;6;1;3;4;6;6;6;2;4;4;1;5;5;1;1;1;4;6;6;2;4;2;3;2;2;1;NA;1;2;1;34;2;1;NA;NA;NA;NA;96025;62957;63554;57716;43102;10;2019
67;6;5;1;2;1;1;6;4;1;1;6;5;6;6;4;3;5;6;4;2;1;5;6;4;6;5;3;1;NA;3;0;24;2;1;NA;NA;Курск;449556;53524;53340;48671;44024;40098;10;2019
68;6;6;3;2;2;3;6;6;2;1;1;6;6;6;2;1;1;3;6;6;1;1;1;6;6;6;1;NA;1;2;1;18;5;0;NA;NA;Москва;12692466;139432;51094;79941;61587;7335;10;2019
69;6;4;1;1;1;1;6;6;1;1;1;6;6;4;3;1;1;3;6;6;3;1;1;4;6;6;4;0;0;1;0;20;2;1;NA;NA;Чебоксары;495317;898860;63620;58488;44449;46477;10;2019
70;6;3;1;2;1;5;6;4;1;5;6;6;6;5;1;1;1;4;6;6;1;1;2;5;3;2;3;NA;1;2;0;16;1;0;NA;NA;Подольск;304245;104734;88540;84378;158404;82916;10;2019
71;5;5;4;4;1;3;6;6;3;4;2;1;5;6;2;1;4;2;6;5;2;5;5;5;5;5;2;0;0;1;0;36;3;1;NA;NA;Новосибирск;1618039;68690;57440;42278;50999;19674;10;2019
72;6;6;5;6;5;4;5;6;4;5;2;5;6;6;4;1;2;4;6;4;2;1;4;6;5;5;3;1;NA;3;0;40;4;1;NA;NA;Новосибирск;1618039;44217;41060;28471;57100;22766;10;2019
73;6;5;2;1;1;4;6;5;2;5;2;6;4;4;4;1;2;5;5;5;2;5;5;5;5;5;4;NA;1;2;0;25;2;1;NA;NA;NA;NA;69611;43199;46478;51029;23894;10;2019
74;6;4;2;4;4;2;6;6;1;1;1;6;6;6;2;1;1;4;6;1;2;6;6;4;1;1;1;NA;1;2;0;24;2;0;NA;NA;Воронеж;1054111;65491;50551;75068;58026;22790;10;2019
75;6;4;1;1;1;1;6;6;1;3;3;3;6;4;3;1;3;6;4;3;1;3;6;6;5;5;1;NA;1;2;0;18;1;0;NA;NA;Казань;1251969;57280;44076;74336;62661;30004;10;2019
76;6;6;1;6;6;4;6;6;1;6;6;4;6;6;5;1;1;6;6;6;3;1;1;5;5;5;5;NA;1;2;1;31;3;1;NA;NA;Тамбов;291663;214255;1713084;79260;101456;46749;10;2019
77;6;6;1;6;6;5;6;6;1;1;1;6;5;6;2;1;1;5;6;4;2;1;3;6;5;6;4;0;0;1;0;30;2;1;NA;NA;Комсомольск-на-Амуре;246607;41358;48883;80523;51316;39429;10;2019
78;6;6;1;6;3;6;2;1;6;2;1;5;6;6;1;1;1;6;6;6;1;6;6;2;6;6;1;0;0;1;0;26;1;0;NA;NA;Екатеринбург;1483119;118630;209213;66488;60410;34435;10;2019
79;6;6;1;4;1;5;6;6;1;4;3;4;2;3;1;1;1;6;3;2;1;1;3;2;6;6;2;0;0;1;0;25;1;1;NA;NA;Ростов-на-Дону;1133307;80980;121269;68791;45009;29371;10;2019
80;3;3;4;1;1;1;6;6;4;4;5;6;6;6;4;6;6;4;6;6;4;1;1;2;6;6;4;NA;1;2;0;21;1;0;NA;NA;Тверь;420850;123332;109735;56583;66359;39504;10;2019
81;6;6;1;6;6;4;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;1;3;6;6;6;1;0;0;1;0;23;3;NA;NA;NA;Мытищи;222739;28358;29573;28416;80452;15630;10;2019
82;6;6;3;6;1;4;6;2;1;1;4;6;6;4;1;1;1;2;6;2;2;4;5;6;5;5;2;1;NA;3;0;33;1;0;NA;NA;Копейск;148232;133736;333590;133294;125173;86628;10;2019
83;5;6;2;6;4;2;6;5;3;1;1;5;6;5;2;1;2;4;6;4;3;1;5;4;2;3;4;1;NA;3;1;17;1;0;NA;NA;Санкт-Петербург;5392992;152037;66161;49852;72487;55532;10;2019
84;6;2;1;1;1;1;6;4;2;1;6;6;6;2;1;1;1;3;6;1;1;4;6;6;5;3;3;1;NA;3;0;20;2;0;NA;NA;Улан-Удэ ;435496;109250;72156;68526;67688;71399;10;2019
85;6;3;2;5;2;3;4;4;2;5;5;5;4;3;3;1;3;4;5;4;3;6;6;4;4;4;3;1;NA;3;0;18;3;0;NA;NA;Новокузнецк;552105;146987;128100;117222;122397;58597;10;2019
86;6;5;1;1;1;4;6;6;2;1;3;6;2;2;5;1;2;5;2;4;5;1;1;5;2;2;3;1;NA;3;0;20;2;1;NA;NA;Новосибирск;1618039;39868;33516;63834;34981;39919;10;2019
87;6;6;3;1;1;5;6;6;1;1;1;6;6;6;2;1;1;5;6;5;1;1;1;6;2;1;5;NA;1;2;0;24;1;0;NA;NA;Минск;2018281;80231;79193;119025;78726;59998;10;2019
88;6;5;2;4;3;1;6;5;3;2;2;3;4;2;1;6;6;3;6;4;2;4;4;3;5;4;2;NA;1;2;0;17;1;0;NA;NA;Магнитогорск;416521;89234;59631;77386;101770;60919;10;2019
89;6;6;4;6;6;3;6;6;2;2;5;5;6;6;3;1;1;5;5;3;2;2;4;3;6;6;3;NA;1;2;0;22;3;1;NA;NA;Санкт-Петербург;5392992;135065;45913;44045;112369;23494;10;2019
90;6;5;2;6;1;3;6;4;1;1;6;6;5;1;2;2;5;3;6;2;2;1;1;3;6;1;2;0;0;1;0;24;1;0;NA;NA;Смоленск;329427;90822;98137;96642;83160;39007;10;2019
91;6;6;2;6;2;3;6;4;1;2;4;6;5;5;3;6;5;3;5;4;2;3;4;5;6;5;4;1;NA;3;0;18;1;0;NA;NA;Волгоград ;1013468;76468;123234;105206;85719;35929;10;2019
92;1;1;4;1;1;4;1;1;4;6;6;3;1;1;4;6;6;3;1;1;4;6;6;3;6;6;3;0;0;1;1;26;5;1;NA;NA;Киев;2967360;65234;42311;74598;57562;83584;10;2019
93;6;6;1;1;1;2;6;4;1;1;6;6;6;6;1;1;5;6;6;6;6;6;6;6;1;1;1;NA;1;2;0;30;4;0;NA;NA;Екатеринбург;1483119;81028;1893270;100558;174334;50675;10;2019
94;6;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;1;1;1;1;1;NA;1;2;0;64;1;0;NA;NA;Счастье;11887;59174;59178;41327;151237;40766;10;2019
95;6;6;4;1;1;1;6;5;4;1;2;3;6;6;4;1;1;2;6;5;4;1;2;3;6;5;4;0;0;1;1;17;1;0;NA;NA;Тула;479105;74174;60224;78408;66864;67687;10;2019
96;1;1;4;6;2;3;4;3;4;1;1;4;6;6;3;1;1;4;6;6;3;1;2;4;1;2;2;0;0;1;0;34;2;1;NA;NA;Алматы;1854656;70150;96897;62839;47752;68091;10;2019
97;6;6;1;1;1;6;6;6;1;6;6;6;6;6;1;6;6;1;6;6;1;1;1;6;6;6;1;1;NA;3;0;21;1;0;NA;NA;Тверь;420850;105458;48809;48223;50053;20347;10;2019
98;6;3;2;1;1;2;6;5;1;4;5;5;6;6;4;1;2;2;6;6;4;1;1;3;1;1;1;0;0;1;1;17;1;0;NA;NA;Алчевск;107438;89103;66175;43038;41042;24413;10;2019
99;6;6;2;2;2;3;6;6;2;1;5;5;4;3;2;1;1;5;5;5;3;4;4;4;5;5;2;NA;1;2;0;24;3;0;NA;NA;Миасс;151275;109217;69033;98409;80115;69184;10;2019
